Name,Allegiances,DeathYear,BookofDeath,DeathChapter,BookIntroChapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Tion Frey,Lannister,299,3,20,20,0,1,0,0,1,0,0
Tobho Mott,none,none,none,none,27,1,0,1,0,1,0,0
Todder,Night's Watch,none,none,none,19,1,0,1,0,1,0,1
Todric,Greyjoy,299,2,37,37,1,0,0,1,0,0,0
Tom of Sevenstreams,none,none,none,none,13,1,0,0,0,1,1,0
Tomard,House Stark,298,1,49,22,1,0,1,0,0,0,0
Tormund,Wildling,none,none,none,7,1,1,0,0,1,0,1
Torrek,none,none,none,none,42,1,0,1,0,0,0,0
Torrhen Karstark,Stark,298,1,63,53,1,1,1,0,0,0,0
Tothmure,Lannister,299,2,64,30,1,0,0,1,0,0,0
Tregar,House Lannister,298,1,39,35,1,0,1,0,0,0,0
Tremond Gargalen,Martell,none,none,none,38,1,1,0,0,1,0,1
Tristifer Botley,Greyjoy,none,none,none,11,1,1,0,0,0,1,1
Triston Sunderland,Lannister,none,none,none,9,1,1,0,0,0,0,1
Tuffleberry,none,none,none,none,38,1,0,0,1,0,0,0
Tumberjon,Night's Watch,none,none,none,0,1,0,0,0,1,0,0
Tumco Lho,Targaryen,none,none,none,67,1,0,0,0,0,0,1
Tybero Istarion,none,none,none,none,66,1,0,0,0,0,0,1
Tycho Nestoris,none,none,none,none,44,1,0,0,0,0,0,1
Tyene Sand,House Martell,none,none,none,38,0,1,0,0,0,1,1
Tymor,House Greyjoy,299,2,66,37,1,0,0,1,0,0,0
Tyrek Lannister,House Lannister,299,2,41,30,1,1,1,1,0,0,0
Tyrion Lannister,Lannister,none,none,none,4,1,1,1,1,1,0,1
Tyta Frey,none,none,none,none,49,0,1,0,0,1,0,0
Tytos Blackwood,Tully,none,none,none,56,1,1,1,0,1,0,1
Tytos Brax,Lannister,none,none,none,63,1,1,1,1,0,0,0
Tytos Frey,none,299,3,none,none,1,1,0,0,1,0,0
Tywin Lannister,House Lannister,300,3,77,42,1,1,1,1,1,0,0
Ulf son of Umar,Lannister,298,1,62,56,1,0,1,0,0,0,0
Ulf the Ill,House Greyjoy,299,2,66,66,1,0,0,1,0,0,0
Ulmer,Night's Watch,none,none,none,33,1,0,0,0,1,0,1
Ulwyck Uller,Martell,none,none,none,38,1,1,0,0,1,0,1
Umar,none,none,none,none,56,1,0,1,0,0,0,0
Umfred,none,none,none,none,68,1,0,0,0,1,0,0
Unella,none,none,none,none,43,1,0,0,0,0,1,0
Urreg,Night's Watch,299,2,19,14,1,0,0,1,0,0,0
Urswyck,none,none,none,none,21,1,0,0,0,1,0,0
Utherydes Wayn,Tully,none,none,none,71,1,0,1,1,1,0,0
Utt,none,299,3,39,30,1,0,0,1,1,0,0
Val,Wildling,none,none,none,7,0,0,0,0,1,0,1
Varamyr,Wildling,300,5,0,15,1,0,0,0,1,0,1
Vardis Egen,Arryn,298,1,40,34,1,0,1,0,0,0,0
Vargo Hoat,none,300,3,20,30,1,0,0,1,1,0,0
Varys,Targaryen,none,none,none,25,1,0,1,1,1,0,1
Vayon Poole,Stark,298,1,21,7,1,0,1,1,0,0,0
Victarion Greyjoy,House Greyjoy,none,none,none,24,1,1,0,1,0,1,1
Viserys Targaryen,House Targaryen,298,1,46,3,1,1,1,0,0,0,0
Vylarr,House Lannister,none,none,none,3,1,0,0,1,0,0,0
Vyman,Tully,none,none,none,55,1,0,0,1,1,1,0
Waif,none,none,none,none,6,0,0,0,0,0,1,1
Walda Rivers (daughter of Aemon),none,none,none,none,49,0,1,0,0,1,0,0
Walder Frey,none,none,none,none,28,1,1,1,0,1,0,0
Walder Rivers,none,none,none,none,35,1,1,0,0,1,1,0
Wallen,Wildling,298,1,37,37,1,0,1,0,0,0,0
Walton,none,none,none,none,64,1,0,0,1,1,0,1
Wat (orphan),none,none,none,none,37,1,0,0,0,0,1,0
Wat (sailor),none,none,none,none,34,1,0,0,0,0,1,0
Watt,Night's Watch,299,3,75,69,1,0,0,0,1,0,0
Watty,none,none,none,none,39,1,0,0,0,1,0,0
Waymar Royce,Night's Watch,297,1,0,0,1,1,1,0,0,0,0
Wayn (guard),House Stark,none,none,none,37,1,0,1,0,0,0,0
Weasel,none,none,none,none,9,0,0,0,1,0,0,0
Weeper,Wildling,none,none,none,7,1,1,0,0,1,0,0
Weese,Lannister,299,2,38,26,1,0,0,1,0,0,0
Wendel Manderly,Stark,299,3,51,55,1,1,1,1,1,0,0
Wendello Qar Deeth,none,none,none,none,40,1,1,0,1,0,0,0
Werlag,House Greyjoy,299,2,66,37,1,0,0,1,0,0,0
Wex Pyke,Stark,none,none,none,24,1,0,0,1,0,0,1
Whalen Frey,none,none,none,none,59,1,1,1,0,1,0,0
Wilbert,Stark,298,3,29,29,1,0,0,0,1,0,0
Will,Night's Watch,297,1,0,0,1,0,1,0,0,0,0
Will (orphan),none,none,none,none,37,1,0,0,0,0,1,0
Willam Wells,Martell,300,5,6,6,1,0,0,0,0,0,1
Willem Lannister,House Lannister,299,3,20,19,1,1,0,0,1,0,0
William Mooton,Tully,none,none,none,14,1,1,0,0,0,1,0
Willis Wode,Arryn,none,none,none,31,1,1,1,0,0,0,0
Willit,Lannister,none,none,none,65,1,0,0,1,0,0,0
Willow Witch-eye,Wildling,300,5,69,37,0,0,0,0,0,0,1
Willum,Tully,none,none,none,43,1,0,1,0,0,0,0
Woth,Night's Watch,299,2,14,14,1,0,0,1,0,0,0
Wulfe,House Greyjoy,none,none,none,29,1,0,0,0,0,1,1
Wun Weg Wun Dar Wun,Wildling,none,none,none,35,1,0,0,0,0,0,1
Wyl (guard),House Stark,298,1,35,35,1,0,1,0,0,0,0
Wyl the Whittler,none,299,3,34,34,1,0,0,0,1,0,0
Wylis Manderly,Stark,none,none,none,55,1,1,1,1,0,1,0
Wylla Manderly,Stark,none,none,none,19,0,1,0,0,0,0,1
Wyman Manderly,Stark,none,none,none,16,1,1,0,1,0,0,1
Wynafryd Manderly,Stark,none,none,none,19,1,1,0,0,0,0,1
Wynton Stout,Night's Watch,none,none,none,41,1,0,0,0,1,0,0
Xaro Xhoan Daxos,none,none,none,none,12,1,1,0,1,0,0,1
Xhondo,none,none,none,none,26,1,0,0,0,0,1,0
Yandry,House Targaryen,none,none,none,8,1,0,0,0,0,0,1
Yellow Dick,none,300,5,46,12,1,0,0,0,0,0,1
Ygon Farwynd,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Ygritte,Wildling,299,3,55,51,0,0,0,1,1,0,0
Yohn Farwynd,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Yohn Royce,Arryn,none,none,none,29,1,1,1,0,0,1,0
Yoren,Night's Watch,299,2,19,13,1,0,1,1,0,0,0
Young Henly,Night's Watch,299,3,55,55,1,0,0,0,1,0,0
Ysilla,House Targaryen,none,none,none,8,1,0,0,0,0,0,1
Zei,Stark,none,none,none,64,0,0,0,0,1,0,0
Zollo,none,none,none,none,21,1,0,0,0,1,0,0
Yurkhaz zo Yunzak,none,300,5,59,47,1,0,0,0,0,0,1
Yezzan Zo Qaggaz,none,300,5,57,25,1,1,0,0,0,0,1
Torwynd the Tame,Wildling,300,5,73,73,1,0,0,0,1,0,0
Talbert Serry,Tyrell,300,4,29,29,1,1,0,0,0,1,0
